rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
1	Bile Acid Metabolism	0.006088606177572823	19.013397129186604	96.99372904720285	['ABCG8', 'NR3C2']	0.07837859880567437
2	Xenobiotic Metabolism	0.01844202324839397	10.516214779372675	41.9925427496273	['SMOX', 'HNF4A']	0.07837859880567437
3	Epithelial Mesenchymal Transition	0.01844202324839397	10.516214779372675	41.9925427496273	['CXCL8', 'ANPEP']	0.07837859880567437
4	Inflammatory Response	0.01844202324839397	10.516214779372675	41.9925427496273	['CXCL8', 'LDLR']	0.07837859880567437
15	Complement	0.19035764983475928	4.969849246231155	8.244237447277422	['HNF4A']	0.19035764983475928
14	Allograft Rejection	0.19035764983475928	4.969849246231155	8.244237447277422	['F2R']	0.19035764983475928
13	heme Metabolism	0.19035764983475928	4.969849246231155	8.244237447277422	['SMOX']	0.19035764983475928
12	G2-M Checkpoint	0.19035764983475928	4.969849246231155	8.244237447277422	['STMN1']	0.19035764983475928
11	p53 Pathway	0.19035764983475928	4.969849246231155	8.244237447277422	['F2R']	0.19035764983475928
9	TNF-alpha Signaling via NF-kB	0.19035764983475928	4.969849246231155	8.244237447277422	['LDLR']	0.19035764983475928
16	mTORC1 Signaling	0.19035764983475928	4.969849246231155	8.244237447277422	['LDLR']	0.19035764983475928
8	Apoptosis	0.15618239340493728	6.1934375	11.499545954836263	['F2R']	0.19035764983475928
7	UV Response Dn	0.14085942250239014	6.9356643356643355	13.593852781664756	['LDLR']	0.19035764983475928
6	Coagulation	0.1353883218313537	7.241605839416058	14.480374212167852	['HNF4A']	0.19035764983475928
5	Cholesterol Homeostasis	0.0749271736072752	13.634246575342466	35.329586768183	['LDLR']	0.19035764983475928
10	Glycolysis	0.19035764983475928	4.969849246231155	8.244237447277422	['STMN1']	0.19035764983475928
17	E2F Targets	0.19035764983475928	4.969849246231155	8.244237447277422	['STMN1']	0.19035764983475928
