rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p_value
1	Positive Regulation Of Biosynthetic Process (GO:0009891)	1.2851296895554653e-05	81.04878048780488	912.7767009700026	['CXCL8', 'CREB1', 'F2R']	0.0047109327639405455
2	Intestinal Cholesterol Absorption (GO:0030299)	3.763275427209216e-05	300.3308270676692	3059.661074421551	['ABCG8', 'LDLR']	0.0047109327639405455
3	Cholesterol Homeostasis (GO:0042632)	5.678871416682245e-05	48.091787439613526	470.1536313027804	['ABCG8', 'HNF4A', 'LDLR']	0.0047109327639405455
4	Intestinal Lipid Absorption (GO:0098856)	5.74219267049387e-05	233.5672514619883	2280.8039070745754	['ABCG8', 'LDLR']	0.0047109327639405455
5	Sterol Homeostasis (GO:0055092)	5.918257241131339e-05	47.40238095238095	461.456653556489	['ABCG8', 'HNF4A', 'LDLR']	0.0047109327639405455
6	Negative Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0045744)	0.00023950096406846579	105.04736842105264	875.7749854627358	['CXCL8', 'STMN1']	0.01544492190634915
7	Response To Hexose (GO:0009746)	0.0002857953111961309	95.48803827751196	779.2048032433584	['EIF2B2', 'HNF4A']	0.01544492190634915
8	Sterol Transport (GO:0015918)	0.00031045069158490754	91.33180778032036	737.731350520009	['ABCG8', 'LDLR']	0.01544492190634915
9	Positive Regulation Of Lipid Biosynthetic Process (GO:0046889)	0.0007600545888385116	56.733997155049785	407.4703926585901	['CREB1', 'LDLR']	0.0336113029286364
10	Regulation Of Primary Metabolic Process (GO:0080090)	0.0009238809256518343	51.18870346598203	357.6517529213759	['HNF4A', 'LDLR']	0.03677046084094301
11	Response To Glucose (GO:0009749)	0.0010569268597320413	47.69138755980861	326.7999762595502	['EIF2B2', 'HNF4A']	0.03824153547030477
12	Cholesterol Transport (GO:0030301)	0.0012979027758576402	42.81417830290011	284.5860815063359	['ABCG8', 'LDLR']	0.04304710873261173
13	Response To Peptide Hormone (GO:0043434)	0.001507858208877355	39.574975173783514	257.1211876509781	['CREB1', 'EIF2B2']	0.04445036920998003
14	Chemokine-Mediated Signaling Pathway (GO:0070098)	0.0016185198561994832	38.13205741626794	245.0458752986846	['CXCL8', 'RBM15']	0.04445036920998003
15	Memory (GO:0007613)	0.001675265171230403	37.44924812030075	239.36749802122998	['CUX2', 'LDLR']	0.04445036920998003
18	Regulation Of Rho Protein Signal Transduction (GO:0035023)	0.002638278864357178	29.515196441808747	175.25027215896412	['F2R', 'STMN1']	0.0583352771118976
17	Negative Regulation Of Supramolecular Fiber Organization (GO:1902904)	0.0024978727556780535	30.373760488176963	182.00916509302732	['STMN1', 'LDLR']	0.0583352771118976
16	Response To Molecule Of Bacterial Origin (GO:0002237)	0.002361133532127177	31.28358208955224	189.22229586133935	['CXCL8', 'F2R']	0.0583352771118976
55	Ornithine Metabolic Process (GO:0006591)	0.009412182450531985	124.81875	582.3731356633181	['HNF4A']	0.05867362017008897
56	Dosage Compensation (GO:0007549)	0.009412182450531985	124.81875	582.3731356633181	['RBM15']	0.05867362017008897
57	Regulation Of Coagulation (GO:0050818)	0.010452761511867668	110.94444444444444	506.0053047065427	['F2R']	0.05867362017008897
58	Regulation Of Low-Density Lipoprotein Particle Clearance (GO:0010988)	0.010452761511867668	110.94444444444444	506.0053047065427	['LDLR']	0.05867362017008897
59	Induction Of Positive Chemotaxis (GO:0050930)	0.010452761511867668	110.94444444444444	506.0053047065427	['CXCL8']	0.05867362017008897
60	Protein Kinase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007205)	0.010452761511867668	110.94444444444444	506.0053047065427	['F2R']	0.05867362017008897
61	Peptidyl-Proline Hydroxylation (GO:0019511)	0.010452761511867668	110.94444444444444	506.0053047065427	['EGLN1']	0.05867362017008897
62	Cellular Response To Forskolin (GO:1904322)	0.010452761511867668	110.94444444444444	506.0053047065427	['CREB1']	0.05867362017008897
63	Response To Forskolin (GO:1904321)	0.010452761511867668	110.94444444444444	506.0053047065427	['CREB1']	0.05867362017008897
64	Negative Regulation Of Cholesterol Transport (GO:0032375)	0.010452761511867668	110.94444444444444	506.0053047065427	['ABCG8']	0.05867362017008897
