alpha_shift,variance_ratio,pooled_mean_bias,invariance_mean_bias,pooled_rmse,invariance_rmse,rmse_gain,env_reps
0.0,1.0,0.7482670859116344,0.744852698982372,0.7483590202574424,4.459214788592134,-3.7108557683346914,220
0.0,1.8,0.627865967981314,-0.01744908826157886,0.6279899990111707,0.11327492577402191,0.5147150732371488,220
0.0,2.6,0.5039630999574979,-7.404283526912299e-05,0.5040891123129649,0.04706922603674177,0.45701988627622314,220
0.0,3.4,0.39532061125121787,-0.0033244211497693364,0.3954866803631454,0.02605295193631572,0.36943372842682964,220
0.2,1.0,0.697766449300078,0.39745649950917555,0.6978678712815212,0.40544587957547934,0.29242199170604183,220
0.2,1.8,0.6010536696832163,0.20130101507722717,0.6011489130658134,0.20677690738957324,0.3943720056762402,220
0.2,2.6,0.49328299926913166,0.10885679690296506,0.49341190345634167,0.11325521319453635,0.3801566902618053,220
0.2,3.4,0.39847049415547975,0.0694262710256672,0.3985945029495135,0.07270256556241998,0.3258919373870935,220
0.4,1.0,0.6413933934181191,0.37204037047609256,0.6414826295869859,0.37422631050458166,0.2672563190824042,220
0.4,1.8,0.5657447704160976,0.2522210114662705,0.5658196435225343,0.2541024124045765,0.31171723111795785,220
0.4,2.6,0.47551080363037707,0.16577072339796625,0.47562781376985164,0.16761800688655046,0.30800980688330115,220
0.4,3.4,0.39225449817612423,0.11489880524787242,0.3923593190307406,0.1162263791235648,0.2761329399071758,220
0.6,1.0,0.5897430850480821,0.34516232360046345,0.589823941145041,0.3461459785960159,0.24367796254902507,220
0.6,1.8,0.5294093557452668,0.2676462991914067,0.5295042705812103,0.268582511956552,0.26092175862465833,220
0.6,2.6,0.4573042786703512,0.19758389088286854,0.4574112651523118,0.19830915352193731,0.25910211163037444,220
0.6,3.4,0.38403795219291753,0.14762350271638194,0.3841613175621813,0.14849401711588062,0.2356673004463007,220
