rep,auc,accuracy,beta_base,beta_alt,gamma_alt
0,0.5009703703703704,0.5027777777777778,0.8,0.0,1.3
1,0.5032845345345346,0.5038888888888889,0.8,0.0,1.3
2,0.5029915717328888,0.495,0.8,0.0,1.3
3,0.4739615420229019,0.4777777777777778,0.8,0.0,1.3
4,0.476335685608324,0.475,0.8,0.0,1.3
5,0.4927501864943508,0.49277777777777776,0.8,0.0,1.3
6,0.48416756075367523,0.4861111111111111,0.8,0.0,1.3
7,0.5254957839380945,0.5183333333333333,0.8,0.0,1.3
8,0.49927248023715415,0.4922222222222222,0.8,0.0,1.3
9,0.5142441749149845,0.5072222222222222,0.8,0.0,1.3
10,0.5013857394809775,0.5,0.8,0.0,1.3
11,0.5113044465926164,0.5038888888888889,0.8,0.0,1.3
12,0.48798940798184226,0.49277777777777776,0.8,0.0,1.3
13,0.49799975305593286,0.495,0.8,0.0,1.3
14,0.49528812617673384,0.4855555555555556,0.8,0.0,1.3
15,0.5108713770822555,0.5127777777777778,0.8,0.0,1.3
16,0.5059259012320986,0.51,0.8,0.0,1.3
17,0.49927468329895025,0.49833333333333335,0.8,0.0,1.3
18,0.5097824865142627,0.5038888888888889,0.8,0.0,1.3
19,0.4987597527411441,0.49666666666666665,0.8,0.0,1.3
20,0.4998727766798419,0.49166666666666664,0.8,0.0,1.3
21,0.4789351454594167,0.47333333333333333,0.8,0.0,1.3
22,0.4960726649579488,0.4938888888888889,0.8,0.0,1.3
23,0.5212276031686455,0.505,0.8,0.0,1.3
24,0.5324355605953365,0.5238888888888888,0.8,0.0,1.3
25,0.5035038174631498,0.5033333333333333,0.8,0.0,1.3
26,0.5094485680845074,0.49944444444444447,0.8,0.0,1.3
27,0.5029111686156763,0.4955555555555556,0.8,0.0,1.3
28,0.4667931712231353,0.4761111111111111,0.8,0.0,1.3
29,0.5416603388733935,0.5294444444444445,0.8,0.0,1.3
30,0.4939240744035265,0.495,0.8,0.0,1.3
31,0.5259895382586892,0.5177777777777778,0.8,0.0,1.3
32,0.4904119195421031,0.4811111111111111,0.8,0.0,1.3
33,0.5048463501446312,0.5127777777777778,0.8,0.0,1.3
34,0.5116338794373264,0.5111111111111111,0.8,0.0,1.3
35,0.49325080262229093,0.4955555555555556,0.8,0.0,1.3
36,0.4748486521674146,0.47944444444444445,0.8,0.0,1.3
37,0.5006432892949747,0.5011111111111111,0.8,0.0,1.3
38,0.4808975601075609,0.47833333333333333,0.8,0.0,1.3
39,0.4658312577833126,0.4688888888888889,0.8,0.0,1.3
40,0.49164217804667243,0.49444444444444446,0.8,0.0,1.3
41,0.5090764291887887,0.5083333333333333,0.8,0.0,1.3
42,0.49860678840344247,0.5061111111111111,0.8,0.0,1.3
43,0.512074186409532,0.5138888888888888,0.8,0.0,1.3
44,0.5339989503257078,0.5438888888888889,0.8,0.0,1.3
45,0.49494859683245346,0.49444444444444446,0.8,0.0,1.3
46,0.4961135034766119,0.4955555555555556,0.8,0.0,1.3
47,0.4996234102975676,0.5055555555555555,0.8,0.0,1.3
48,0.5037514615081653,0.49944444444444447,0.8,0.0,1.3
49,0.510770804835463,0.5144444444444445,0.8,0.0,1.3
50,0.5188135802469136,0.5155555555555555,0.8,0.0,1.3
