scenario,estimator,truth_beta,mean_estimate,sd_estimate,mean_bias,rmse,q05,q95,avg_n_used,n_reps
heavy_tail_noise,anchor_noise_0.00,0.8,0.7985349373518871,0.014850674477270008,-0.0014650626481129687,0.014893178668874393,0.7747397531389687,0.8239200622161406,5000.0,250
heavy_tail_noise,anchor_noise_0.25,0.8,0.7811178421159601,0.014761437251760684,-0.018882157884039973,0.023949202825491504,0.7570711462331746,0.8043415349928709,5000.0,250
heavy_tail_noise,anchor_noise_0.50,0.8,0.7472268820966298,0.014385303826382407,-0.05277311790337028,0.054691052207428266,0.7222393486547593,0.7679420932218646,5000.0,250
heavy_tail_noise,anchor_noise_1.00,0.8,0.6980264543957377,0.015364524329986385,-0.10197354560426236,0.10311997060007227,0.6749196945422261,0.7226353389721565,5000.0,250
heavy_tail_noise,intervention_doX,0.8,0.8005516115019107,0.014346933847591,0.0005516115019106303,0.014328832751933559,0.7761678733393964,0.8246700375413255,5000.0,250
heavy_tail_noise,naive_observational,0.8,0.6473465042293834,0.016000287050234586,-0.15265349577061665,0.15348639978817935,0.6250109058820217,0.6752383565213833,5000.0,250
linear_gaussian,anchor_noise_0.00,0.8,0.7991390301334115,0.014188166536704584,-0.0008609698665885439,0.014185912818911028,0.7768337491749645,0.8228359275172805,5000.0,250
linear_gaussian,anchor_noise_0.25,0.8,0.7828756368837834,0.014250898449612507,-0.017124363116216613,0.02226026878388317,0.7616476173134313,0.8083196288303239,5000.0,250
linear_gaussian,anchor_noise_0.50,0.8,0.7490119067968817,0.01297059138242391,-0.05098809320311842,0.05260559803230509,0.7281086415447418,0.7703503435793863,5000.0,250
linear_gaussian,anchor_noise_1.00,0.8,0.6994277959307408,0.012156622389018351,-0.10057220406925933,0.10130133545707226,0.680743852096446,0.7189063624854024,5000.0,250
linear_gaussian,intervention_doX,0.8,0.8011894395569742,0.015568105543981681,0.001189439556974242,0.015582400747231922,0.7767877987765874,0.8263539688737576,5000.0,250
linear_gaussian,naive_observational,0.8,0.6492295919322847,0.009965536631109237,-0.15077040806771533,0.15109808278588446,0.6332792952376447,0.6654660252277252,5000.0,250
measurement_error_x,anchor_noise_0.00,0.8,0.5375498260069607,0.012772003925218982,-0.2624501739930394,0.26275952012611337,0.5164532434572053,0.5569283154854768,5000.0,250
measurement_error_x,anchor_noise_0.25,0.8,0.536359567925162,0.012408228673960848,-0.2636404320748379,0.263931100302479,0.5148082673101737,0.5553816543771131,5000.0,250
measurement_error_x,anchor_noise_0.50,0.8,0.5332090126835968,0.012326456881270162,-0.2667909873164032,0.267074455323511,0.5126775306299387,0.5532682829936331,5000.0,250
measurement_error_x,anchor_noise_1.00,0.8,0.528404199080688,0.010959663636479976,-0.271595800919312,0.2718159539966689,0.510685010925941,0.5464702350767817,5000.0,250
measurement_error_x,intervention_doX,0.8,0.536421399080645,0.013628056289302854,-0.2635786009193552,0.2639292706108139,0.5108377431658423,0.5584121593140429,5000.0,250
measurement_error_x,naive_observational,0.8,0.5231577311617357,0.009277406635037991,-0.2768422688382643,0.276997053789917,0.5075653218124322,0.5398677712533992,5000.0,250
nonlinear_interaction,anchor_noise_0.00,0.8,0.7999112492179911,0.01792846873161255,-8.875078200897768e-05,0.01789279597484626,0.7702165312825165,0.8289432245437846,5000.0,250
nonlinear_interaction,anchor_noise_0.25,0.8,0.7834502836901434,0.017572915939424616,-0.01654971630985675,0.02411359067107937,0.7543870568923245,0.8114915836344166,5000.0,250
nonlinear_interaction,anchor_noise_0.50,0.8,0.7493993480120189,0.017032649628102678,-0.05060065198798107,0.05337955311117792,0.7194816183698478,0.7771395449197472,5000.0,250
nonlinear_interaction,anchor_noise_1.00,0.8,0.7002356740808834,0.016617422806171983,-0.09976432591911662,0.10113335212407394,0.671951668092495,0.7257756293886816,5000.0,250
nonlinear_interaction,intervention_doX,0.8,0.7994180192926319,0.01681578033543053,-0.0005819807073682597,0.016792203189577092,0.7688295266793254,0.8268037607756664,5000.0,250
nonlinear_interaction,naive_observational,0.8,0.6502135013836431,0.01640892323117663,-0.14978649861635698,0.1506790327759909,0.6206807849355264,0.6759529825437092,5000.0,250
selection_on_readout,anchor_noise_0.00,0.8,0.5743807389225191,0.028226998923329853,-0.22561926107748098,0.22737112258044845,0.5287533097138156,0.6169570050005003,2000.0,250
selection_on_readout,anchor_noise_0.25,0.8,0.5581027615457963,0.027860367854119963,-0.24189723845420374,0.2434899777575022,0.5140633413095941,0.6007650341673175,2000.0,250
selection_on_readout,anchor_noise_0.50,0.8,0.5268217331701096,0.027147206837419564,-0.27317826682989044,0.27451846645335204,0.48102588093165466,0.568300284218248,2000.0,250
selection_on_readout,anchor_noise_1.00,0.8,0.4789886181756456,0.024921836165095818,-0.32101138182435457,0.32197347839061224,0.4389205376512491,0.5202386283739079,2000.0,250
selection_on_readout,intervention_doX,0.8,0.5123411864696749,0.027130584509509163,-0.28765881353032513,0.28893029841648427,0.4713715607987954,0.5543275956077924,2000.0,250
selection_on_readout,naive_observational,0.8,0.43127234043965257,0.023016713341342556,-0.3687276595603474,0.36944246770169353,0.3924373807622114,0.4704335880920698,2000.0,250
