scenario,estimator,rep,estimate,truth_beta,n_used
linear_gaussian,naive_observational,0,0.6532373350375954,0.8,5000
linear_gaussian,anchor_noise_0.00,0,0.7796788829364549,0.8,5000
linear_gaussian,anchor_noise_0.25,0,0.7647587492837336,0.8,5000
linear_gaussian,anchor_noise_0.50,0,0.7370678372393631,0.8,5000
linear_gaussian,anchor_noise_1.00,0,0.6914260353745277,0.8,5000
linear_gaussian,intervention_doX,0,0.8082248206398225,0.8,5000
linear_gaussian,naive_observational,1,0.6377079810053364,0.8,5000
linear_gaussian,anchor_noise_0.00,1,0.7948855980491708,0.8,5000
linear_gaussian,anchor_noise_0.25,1,0.7732640704138991,0.8,5000
linear_gaussian,anchor_noise_0.50,1,0.738911078330498,0.8,5000
linear_gaussian,anchor_noise_1.00,1,0.6970330467482277,0.8,5000
linear_gaussian,intervention_doX,1,0.802599962410025,0.8,5000
linear_gaussian,naive_observational,2,0.6587040380170907,0.8,5000
linear_gaussian,anchor_noise_0.00,2,0.8208509927650754,0.8,5000
linear_gaussian,anchor_noise_0.25,2,0.805474547639721,0.8,5000
linear_gaussian,anchor_noise_0.50,2,0.7736908268582653,0.8,5000
linear_gaussian,anchor_noise_1.00,2,0.7133637838305795,0.8,5000
linear_gaussian,intervention_doX,2,0.7888406095726243,0.8,5000
linear_gaussian,naive_observational,3,0.6447253322960717,0.8,5000
linear_gaussian,anchor_noise_0.00,3,0.8000552770797391,0.8,5000
linear_gaussian,anchor_noise_0.25,3,0.7791457521031339,0.8,5000
linear_gaussian,anchor_noise_0.50,3,0.7446439537593449,0.8,5000
linear_gaussian,anchor_noise_1.00,3,0.7092122098249394,0.8,5000
linear_gaussian,intervention_doX,3,0.8314441720269868,0.8,5000
linear_gaussian,naive_observational,4,0.6412421061642487,0.8,5000
linear_gaussian,anchor_noise_0.00,4,0.7941928395465867,0.8,5000
linear_gaussian,anchor_noise_0.25,4,0.7763139229417062,0.8,5000
linear_gaussian,anchor_noise_0.50,4,0.7470040986464698,0.8,5000
linear_gaussian,anchor_noise_1.00,4,0.6977741580837029,0.8,5000
linear_gaussian,intervention_doX,4,0.8101234345253232,0.8,5000
linear_gaussian,naive_observational,5,0.6460280345951052,0.8,5000
linear_gaussian,anchor_noise_0.00,5,0.7815930465385308,0.8,5000
linear_gaussian,anchor_noise_0.25,5,0.7703544621837368,0.8,5000
linear_gaussian,anchor_noise_0.50,5,0.738488874128454,0.8,5000
linear_gaussian,anchor_noise_1.00,5,0.6916353416403714,0.8,5000
linear_gaussian,intervention_doX,5,0.777475318242151,0.8,5000
linear_gaussian,naive_observational,6,0.6463021534711179,0.8,5000
linear_gaussian,anchor_noise_0.00,6,0.7887735230601441,0.8,5000
linear_gaussian,anchor_noise_0.25,6,0.7655821674340884,0.8,5000
linear_gaussian,anchor_noise_0.50,6,0.73344573621272,0.8,5000
linear_gaussian,anchor_noise_1.00,6,0.6895274968831104,0.8,5000
linear_gaussian,intervention_doX,6,0.7633899680538907,0.8,5000
linear_gaussian,naive_observational,7,0.6332180359573012,0.8,5000
linear_gaussian,anchor_noise_0.00,7,0.7906945004819568,0.8,5000
linear_gaussian,anchor_noise_0.25,7,0.7746953508723528,0.8,5000
linear_gaussian,anchor_noise_0.50,7,0.7321866548058864,0.8,5000
linear_gaussian,anchor_noise_1.00,7,0.6867139370318937,0.8,5000
linear_gaussian,intervention_doX,7,0.7865826298383309,0.8,5000
linear_gaussian,naive_observational,8,0.65952777250664,0.8,5000
linear_gaussian,anchor_noise_0.00,8,0.8111044923218502,0.8,5000
linear_gaussian,anchor_noise_0.25,8,0.7962216248490819,0.8,5000
linear_gaussian,anchor_noise_0.50,8,0.7553025809271918,0.8,5000
linear_gaussian,anchor_noise_1.00,8,0.7125050029251747,0.8,5000
linear_gaussian,intervention_doX,8,0.7765029595170646,0.8,5000
linear_gaussian,naive_observational,9,0.6567970689555735,0.8,5000
linear_gaussian,anchor_noise_0.00,9,0.8024493064596694,0.8,5000
linear_gaussian,anchor_noise_0.25,9,0.7852340581630689,0.8,5000
linear_gaussian,anchor_noise_0.50,9,0.7571293096548783,0.8,5000
linear_gaussian,anchor_noise_1.00,9,0.7070552058119225,0.8,5000
linear_gaussian,intervention_doX,9,0.7990839957353582,0.8,5000
linear_gaussian,naive_observational,10,0.6557197345609314,0.8,5000
linear_gaussian,anchor_noise_0.00,10,0.8020514263498226,0.8,5000
linear_gaussian,anchor_noise_0.25,10,0.7863174190291499,0.8,5000
linear_gaussian,anchor_noise_0.50,10,0.7536527878261051,0.8,5000
linear_gaussian,anchor_noise_1.00,10,0.7024068121441776,0.8,5000
linear_gaussian,intervention_doX,10,0.8137591581695786,0.8,5000
linear_gaussian,naive_observational,11,0.6523841484960295,0.8,5000
linear_gaussian,anchor_noise_0.00,11,0.8109467990686263,0.8,5000
linear_gaussian,anchor_noise_0.25,11,0.7976938860528663,0.8,5000
linear_gaussian,anchor_noise_0.50,11,0.759843701243133,0.8,5000
linear_gaussian,anchor_noise_1.00,11,0.704827261046804,0.8,5000
linear_gaussian,intervention_doX,11,0.8246255970367322,0.8,5000
