beta_alt,feasible,gamma_alt,sigma_y_alt,analytic_obs_slope_alt,analytic_obs_slope_base,sample_obs_slope_alt,sample_obs_slope_base,analytic_max_abs_cov_diff,sample_max_abs_cov_diff
-0.4,0.0,,,,0.65,,,,
-0.30000000000000004,0.0,,,,0.65,,,,
-0.2,0.0,,,,0.65,,,,
-0.09999999999999998,0.0,,,,0.65,,,,
0.0,1.0,1.3,0.44721359549995815,0.65,0.65,0.6666602252959014,0.6508926675348464,0.0,0.04327543154900182
0.09999999999999998,1.0,1.1,0.66332495807108,0.65,0.65,0.6558468949434323,0.656587338010575,0.0,0.027780049761780834
0.20000000000000007,1.0,0.8999999999999999,0.8000000000000003,0.65,0.65,0.6494013028557645,0.6485504886097917,2.220446049250313e-16,0.017468751476110267
0.30000000000000004,1.0,0.7,0.8944271909999162,0.65,0.65,0.6609056859702989,0.6444137298194997,2.220446049250313e-16,0.05580687357282854
0.4,1.0,0.5,0.959166304662544,0.65,0.65,0.6492764737886809,0.64690245503368,0.0,0.038651123205805105
0.5,1.0,0.30000000000000004,1.0,0.65,0.65,0.6675970973861991,0.6399054614647242,2.220446049250313e-16,0.08724508434286893
0.6,1.0,0.10000000000000009,1.019803902718557,0.65,0.65,0.6577137548039362,0.655139175406727,2.220446049250313e-16,0.030169021336104773
0.7000000000000001,1.0,-0.10000000000000009,1.019803902718557,0.65,0.65,0.6355220303370351,0.6567174818825138,2.220446049250313e-16,0.061299927594488324
0.8000000000000002,1.0,-0.30000000000000027,1.0000000000000002,0.65,0.65,0.6521976187036378,0.6377018143217267,2.220446049250313e-16,0.07272481771467132
0.9,1.0,-0.5,0.959166304662544,0.65,0.65,0.6588751199144935,0.658619203461755,0.0,0.053998704024155186
1.0,1.0,-0.7,0.8944271909999162,0.65,0.65,0.6350798918227537,0.6482634258413857,2.220446049250313e-16,0.050289759073271156
1.1,1.0,-0.9000000000000001,0.8000000000000003,0.65,0.65,0.6469106267290703,0.649761354710184,2.220446049250313e-16,0.02896603094686867
1.2,1.0,-1.0999999999999999,0.66332495807108,0.65,0.65,0.6587222752360956,0.6476010340988259,0.0,0.061965816942681995
